Date,Close
03-01-2022,103.922
04-01-2022,103.514
05-01-2022,101.006
06-01-2022,101.561
07-01-2022,102.719
10-01-2022,101.945
11-01-2022,103.779
12-01-2022,105.686
13-01-2022,105.530
14-01-2022,106.928
17-01-2022,106.374
18-01-2022,106.668
19-01-2022,108.013
20-01-2022,109.102
21-01-2022,108.942
24-01-2022,107.937
25-01-2022,110.204
26-01-2022,111.289
27-01-2022,112.612
28-01-2022,111.910
31-01-2022,112.144
01-02-2022,113.228
02-02-2022,111.894
03-02-2022,111.696
04-02-2022,112.245
07-02-2022,111.996
08-02-2022,112.234
09-02-2022,112.461
10-02-2022,113.368
11-02-2022,113.572
14-02-2022,113.899
15-02-2022,114.828
16-02-2022,115.181
17-02-2022,113.528
18-02-2022,112.880
21-02-2022,111.725
22-02-2022,112.892
23-02-2022,112.008
24-02-2022,111.592
25-02-2022,113.142
02-03-2022,115.174
03-03-2022,115.166
04-03-2022,114.474
07-03-2022,111.593
08-03-2022,111.203
09-03-2022,113.900
10-03-2022,113.663
11-03-2022,111.713
14-03-2022,109.928
15-03-2022,108.959
16-03-2022,111.112
17-03-2022,113.076
18-03-2022,115.311
21-03-2022,116.155
22-03-2022,117.272
23-03-2022,117.457
24-03-2022,119.053
25-03-2022,119.081
28-03-2022,118.738
29-03-2022,120.014
30-03-2022,120.260
31-03-2022,119.999
01-04-2022,121.570
04-04-2022,121.280
05-04-2022,118.885
06-04-2022,118.228
07-04-2022,118.862
08-04-2022,118.322
11-04-2022,116.953
12-04-2022,116.147
13-04-2022,116.782
14-04-2022,116.182
18-04-2022,115.687
19-04-2022,115.057
20-04-2022,114.344
22-04-2022,111.078
25-04-2022,110.685
26-04-2022,108.213
27-04-2022,109.349
28-04-2022,109.919
29-04-2022,107.876
02-05-2022,106.639
03-05-2022,106.528
04-05-2022,108.344
05-05-2022,105.304
06-05-2022,105.135
09-05-2022,103.250
10-05-2022,103.110
11-05-2022,104.397
12-05-2022,105.688
13-05-2022,106.924
16-05-2022,108.233
17-05-2022,108.789
18-05-2022,106.247
19-05-2022,107.005
20-05-2022,108.488
23-05-2022,110.346
24-05-2022,110.581
25-05-2022,110.580
26-05-2022,111.890
27-05-2022,111.942
30-05-2022,111.032
31-05-2022,111.351
01-06-2022,111.360
02-06-2022,112.393
03-06-2022,111.102
06-06-2022,110.186
07-06-2022,110.070
08-06-2022,108.368
09-06-2022,107.094
10-06-2022,105.481
13-06-2022,102.598
14-06-2022,102.063
15-06-2022,102.807
17-06-2022,99.825
20-06-2022,99.853
21-06-2022,99.685
22-06-2022,99.522
23-06-2022,98.080
24-06-2022,98.672
27-06-2022,100.764
28-06-2022,100.591
29-06-2022,99.622
30-06-2022,98.542
01-07-2022,98.954
04-07-2022,98.609
05-07-2022,98.295
06-07-2022,98.719
07-07-2022,100.730
08-07-2022,100.289
11-07-2022,98.212
12-07-2022,98.271
13-07-2022,97.881
14-07-2022,96.121
15-07-2022,96.551
18-07-2022,96.916
19-07-2022,98.245
20-07-2022,98.287
21-07-2022,99.033
22-07-2022,98.925
25-07-2022,100.270
26-07-2022,99.772
27-07-2022,101.438
28-07-2022,102.597
29-07-2022,103.165
01-08-2022,102.225
02-08-2022,103.362
03-08-2022,103.775
04-08-2022,105.892
05-08-2022,106.472
08-08-2022,108.402
09-08-2022,108.651
10-08-2022,110.236
11-08-2022,109.718
12-08-2022,112.764
15-08-2022,113.032
16-08-2022,113.512
17-08-2022,113.708
18-08-2022,113.813
19-08-2022,111.496
22-08-2022,110.501
23-08-2022,112.857
24-08-2022,112.898
25-08-2022,113.532
26-08-2022,112.299
29-08-2022,112.323
30-08-2022,110.431
31-08-2022,109.523
01-09-2022,110.405
02-09-2022,110.864
05-09-2022,112.203
06-09-2022,109.764
08-09-2022,109.916
09-09-2022,112.300
12-09-2022,113.407
13-09-2022,110.794
14-09-2022,110.547
15-09-2022,109.954
16-09-2022,109.280
19-09-2022,111.824
20-09-2022,112.517
21-09-2022,111.936
22-09-2022,114.070
23-09-2022,111.716
26-09-2022,109.114
27-09-2022,108.376
28-09-2022,108.451
29-09-2022,107.664
30-09-2022,110.037
03-10-2022,116.134
04-10-2022,116.230
05-10-2022,117.198
06-10-2022,117.561
07-10-2022,116.375
10-10-2022,115.941
11-10-2022,114.827
13-10-2022,114.300
14-10-2022,112.072
17-10-2022,113.624
18-10-2022,115.743
19-10-2022,116.274
20-10-2022,117.171
21-10-2022,119.929
24-10-2022,116.013
25-10-2022,114.626
26-10-2022,112.764
27-10-2022,114.641
28-10-2022,114.539
31-10-2022,116.037
01-11-2022,116.929
03-11-2022,116.896
04-11-2022,118.155
07-11-2022,115.342
08-11-2022,116.160
09-11-2022,113.580
10-11-2022,109.775
11-11-2022,112.253
14-11-2022,113.161
16-11-2022,110.243
17-11-2022,109.703
18-11-2022,108.870
21-11-2022,109.748
