data,preco_abertura,preco_fechamento,volume_negociacao,volatilidade,retorno,retorno_acumulado,tendencia,cluster
2023-01-01,107.45071229516849,120.99033154879004,831205.4312564046,0.03815615115754782,-0.016269872099298678,-0.016269872099298678,0,1
2023-01-02,97.92603548243223,113.86950524369153,963870.3323211205,0.017207700215590038,0.0003759302212183205,-0.015893941878080357,1,1
2023-01-03,109.71532807151038,100.89445554880261,801895.0197500096,0.008272110668432885,0.0013603374408889318,-0.014533604437191424,1,1
2023-01-04,122.84544784612038,90.2959483344164,923009.61759024,0.037753753146803806,0.010452606916868112,-0.004080997520323312,1,2
2023-01-05,96.48769937914996,110.47334970420386,526596.3332615537,0.011131062490675163,-0.026337167265616527,-0.03041816478593984,0,1
2023-01-06,96.4879456457623,105.90228078132624,1053323.4268432346,0.026709631381997827,0.012851345476946614,-0.017566819308993224,1,0
2023-01-07,123.68819223261087,113.42789830041599,1000301.368840556,0.00972072578835274,-0.05308783263205551,-0.07065465194104872,0,1
2023-01-08,111.51152093729362,109.52757702522955,795727.8422329524,0.030946079778767312,-0.011597691047276208,-0.08225234298832493,0,1
2023-01-09,92.95788421097572,115.74329072979003,1164811.4171081013,0.021653821077741466,-0.008765476849030892,-0.09101781983735582,0,0
2023-01-10,108.13840065378947,91.97147182659148,1234392.5344066396,0.009422493036357572,0.013666536521424771,-0.07735128331593105,1,0
2023-01-11,93.04873460781306,119.76091098451488,598110.0339077564,0.0018727237747834169,0.0014526170535373829,-0.07589866626239367,1,1
2023-01-12,93.01405369644614,102.963994070386,809318.8053584464,0.026515932950843802,-0.027111261077125734,-0.1030099273395194,0,1
2023-01-13,103.62943407349051,131.12891308937898,807714.4125531755,0.025743271371685,-0.0186998625163403,-0.1217097898558597,0,1
2023-01-14,71.30079633013304,89.66218272865649,765024.2247227838,0.027942363702259825,0.004973600190948138,-0.11673618966491156,1,2
2023-01-15,74.12623251230451,126.03945704747875,1207368.710482937,0.011671986526920098,-0.0005813468372911257,-0.11731753650220268,0,0
2023-01-16,91.5656870613854,102.96866175193972,951543.4653067992,0.020767577020386334,-0.010582482192714928,-0.1279000186949176,0,1
2023-01-17,84.80753319498365,90.22872994578327,933871.2896723473,0.030386921509536848,-0.008616675790239586,-0.1365166944851572,0,2
2023-01-18,104.71370998892911,92.74171248918518,499034.4088983116,0.056643111962211376,0.01492335994318578,-0.12159333454197141,1,2
2023-01-19,86.37963886718184,95.1947903770852,1158854.5075523066,0.009023177168179975,-0.009353851457384293,-0.1309471859993557,0,0
2023-01-20,78.81544447997062,106.36248919602875,690185.4012866318,0.011034815998218409,-0.0007618248805814657,-0.13170901087993717,0,1
2023-01-21,121.98473153382331,107.8425323205325,1014983.1575665821,0.024005234994776584,0.044398731761610855,-0.08731027911832631,1,0
2023-01-22,96.61335549270197,91.39449994092132,1069344.234489548,0.00926322724170798,-0.02747365273767846,-0.11478393185600477,0,1
2023-01-23,101.01292307031886,99.63468111608526,1340164.6489596628,0.008228532142320048,-0.03603685463149317,-0.15082078648749794,0,1
2023-01-24,78.62877720679815,132.13405537917794,672794.900220222,0.023078014685114945,0.016671793295972136,-0.13414899319152582,1,1
2023-01-25,91.83425913212226,125.91314755151066,245121.96104479372,0.03739483399390841,-0.012572861225882064,-0.14672185441740787,0,1
2023-01-26,101.66383884564799,106.54485504511048,1045962.3861884237,0.007770415503660186,-0.005364750554852405,-0.1520866049722603,0,1
2023-01-27,82.73509633866546,100.570052172523,1450127.7953777134,0.0038084777985011547,-0.014623127562622285,-0.16670973253488258,0,0
